location,image_link-src,city
"Bonita Reservoir Rd, Meridian, MS 39301",https://lh5.googleusercontent.com/p/AF1QipO08X7VzwtNR2bwKpiHvqEUv6_Bqis4XoVbjg8p=w408-h544-k-no,Meridian
"312 S Mill St, Aspen, CO 81611",https://lh5.googleusercontent.com/p/AF1QipPU96KzvQVVzMpUvQRda8V6YV3B2Sv9jt-K7Hbu=w408-h272-k-no,Aspen
"115 Boylston St, Boston, MA 02116",https://lh5.googleusercontent.com/p/AF1QipMRBMchsDIkHWuTUGlvaXi3Mg9us8PVjDMO9HVL=w408-h306-k-no,Boston
"306 Congress St, Boston, MA 02210",https://lh5.googleusercontent.com/p/AF1QipOxOTN8EqFLfznRkPE4Rj2KqtxqkE4MvzQpf_qC=w408-h306-k-no,Boston
"701 Amidon St, Wichita, KS 67203",https://lh5.googleusercontent.com/p/AF1QipNGoUi0PDzOgjV7yx8KVXLPQJD0UdzR8UgdPA70=w408-h408-k-no,Wichita
"245 Maine St, Brunswick, ME 04011",https://lh5.googleusercontent.com/p/AF1QipNTmTw-8tJxLOFbKcW9rs-vf4StoriCLyel29hi=w408-h306-k-no,Brunswick
"New Brunswick, NJ 08904",https://lh5.googleusercontent.com/p/AF1QipO2BIKBosDo5gsguinkhYgMIaZzc8rqX6fl4gK6=w408-h306-k-no,New Brunswick
"30 Main St, Camden, ME 04843",https://lh5.googleusercontent.com/p/AF1QipN-gboohKo2IKhGCqyATWJ6lof-ufgaYvrRv_Bc=w408-h306-k-no,Camden
"800 10th St NW, Watertown, SD 57201",https://lh5.googleusercontent.com/p/AF1QipNSxe9Tdym3YBad6H6Bcidyvaq-5njiHpalfH0E=w408-h306-k-no,Watertown
"& Park Avenue, Lake St, Newark, NJ 07104",https://lh5.googleusercontent.com/p/AF1QipPpFc9e6Fk6sRcSZkp_PmZsgW6juvv7uIuDnDSe=w408-h306-k-no,Newark
"1001 N Park Dr, Wilmington, DE 19802",https://lh5.googleusercontent.com/p/AF1QipOtq878UFL8x7kXh8NbAUNOlvZbnMpHSOCj8rvr=w408-h306-k-no,Wilmington
"3324 W. Friendly Ave, Friendly Center Rd, Greensboro, NC 27410",https://lh5.googleusercontent.com/p/AF1QipMvmMjCpRW43fPb9xgTa8xec40ReJFczSHK3bxq=w408-h306-k-no,Greensboro
"652 Polk St, San Francisco, CA 94102",https://lh5.googleusercontent.com/p/AF1QipMQIHQreu8wFWhItdDsZ-3ewcPt4sGzW96yuw6Q=w408-h306-k-no,San Francisco
"Ocean Drive, Newport, RI 02840",https://lh5.googleusercontent.com/p/AF1QipOxWmMTATlpU-mmaf3c2MQkGwTqOjvVdH--F9p9=w408-h306-k-no,Newport
"30 Water St, Plymouth, MA 02360",https://lh5.googleusercontent.com/p/AF1QipOOJt05LgMYmsXvDDIJsBod2mXWp6hrqEC1J2fq=w408-h544-k-no,Plymouth
"140 Thames St, Newport, RI 02840",https://lh5.googleusercontent.com/p/AF1QipOMhOxJnpjED0lebw4-fFOm0fQzkJJ57SYcvpQf=w408-h306-k-no,Cranston
"210 W Market St, San Antonio, TX 78205",https://lh5.googleusercontent.com/p/AF1QipNcxPvtubfknoHE-MZoUwseEo-q5hrwyzcAbTi9=w408-h306-k-no,San Antonio
"1200 Pioneer Way, Deadwood, SD 57732",https://lh5.googleusercontent.com/p/AF1QipM3KXkgRZMqSJ69pJC6oB4s8tr0xpnD7WGO2Oel=w426-h240-k-no,Deadwood
"13 E Queens Way, Hampton, VA 23669",https://lh5.googleusercontent.com/p/AF1QipPXHLN70UzOjvSvotcdTPFfbpH-NOWQYGj9-5WP=w408-h544-k-no,Hampton
"New York, NY 10018",https://lh5.googleusercontent.com/p/AF1QipO_MUUv9wqPA5PaxoCYVc7_v8G98yez9KRZXssT=w408-h272-k-no,New York
"900 Parkway, Gatlinburg, TN 37738",https://lh5.googleusercontent.com/p/AF1QipPGHn9Q4wqwWGruHVw4vBFvOtYHtcDhHcaKGlbu=w408-h240-k-no-pi0-ya247.83246-ro-0-fo100,Gatlinburg
"200 10th St, Des Moines, IA 50309",https://lh5.googleusercontent.com/p/AF1QipNC7_7_AVMLtWsHWJvzYQ8Mdr0YTF2Cm0Wjt8eB=w408-h269-k-no,Des Moines
"100 S 1st St, Hampton, VA 23664",https://lh5.googleusercontent.com/p/AF1QipONu0sPQWef43shx7vOzCBVFZCSqNllYY45iAwQ=w408-h306-k-no,Hampton
"3805 E Bismarck Expy, Bismarck, ND 58501",https://lh5.googleusercontent.com/p/AF1QipOVqfbFBX7voKHWyIgboNcP7Ui5fgblya1e_NV6=w408-h306-k-no,Bismarck
"415 Cooley St, Springfield, MA 01128",https://lh5.googleusercontent.com/p/AF1QipN_Kwf0gMNgZTYG01VyTAtNXVsmkOJLczLNi2Ct=w408-h306-k-no,Springfield
"1800 Allen Pkwy &, Memorial Dr, Houston, TX 77019",https://lh5.googleusercontent.com/p/AF1QipNdyr0ZmN9QtoVtlKP6IhbygVOTelCV2WFNqfi6=w408-h306-k-no,Houston
"720 Sheridan Ave, Cody, WY 82414",https://lh5.googleusercontent.com/p/AF1QipPKqjOtdafVPayYdsZPZYV9C1jKyIAm2B4RbDKO=w408-h306-k-no,Cody
"4808 N Fork Hwy, Cody, WY 82414",https://lh5.googleusercontent.com/p/AF1QipOY1ncCvAfkFlhprdFG4ThK9MKjdn6phCc3Z6Q4=w408-h297-k-no,Cody
"1020 Humboldt Pkwy, Buffalo, NY 14211",https://lh5.googleusercontent.com/p/AF1QipNAyaHRrf2807UbfV0XAwquZIphMwmcS14rPUC-=w408-h306-k-no,Buffalo
"1 Naval, Marina Park S, Buffalo, NY 14202",https://lh5.googleusercontent.com/p/AF1QipOb1LiBPypE5fMOse_iqWUTUOyCPcljMFpZIiBd=w408-h306-k-no,Buffalo
"2655 South Park Ave, Buffalo, NY 14218",https://lh5.googleusercontent.com/p/AF1QipNNi4A0w1IzYuRwmN1Q-1bTKAyGj--rCnEN-C1P=w426-h240-k-no,Buffalo
"334 Warner Milne Rd, Oregon City, OR 97045",https://lh5.googleusercontent.com/p/AF1QipM7CPzpTwE521LRebxyhigOCihJh4idStgUh8Iu=w408-h544-k-no,Oregon City
